City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
443,boa vista,2.8197,-60.6733,78.78,89,90,4.61,light rain,BR,2021-12-11 04:59:26
444,tekkali,18.6167,84.2333,79.39,69,2,8.81,clear sky,IN,2021-12-11 04:59:26
445,sur,22.5667,59.5289,73.9,50,64,2.68,broken clouds,OM,2021-12-11 04:59:26
446,amapa,1.0,-52.0,72.95,100,95,1.1,overcast clouds,BR,2021-12-11 04:59:27
447,wiwili,13.6268,-85.8254,66.78,94,22,3.0,few clouds,NI,2021-12-11 04:59:27
448,tiznit,29.5833,-9.5,53.42,32,1,1.16,clear sky,MA,2021-12-11 04:59:28
449,bilma,18.6853,12.9164,57.9,15,99,7.07,overcast clouds,NE,2021-12-11 04:59:28
450,zaragoza,41.6561,-0.8773,52.25,81,75,8.99,light intensity drizzle,ES,2021-12-11 04:59:28
451,richards bay,-28.783,32.0377,77.94,82,41,12.71,scattered clouds,ZA,2021-12-11 04:59:29
452,oranjemund,-28.55,16.4333,61.38,91,5,5.17,clear sky,NA,2021-12-11 04:59:29
453,surin,14.8818,103.4936,81.54,50,8,9.71,clear sky,TH,2021-12-11 05:00:29
454,qixia,37.2975,120.8256,48.63,50,91,7.63,overcast clouds,CN,2021-12-11 05:00:31
455,mao,39.8885,4.2658,48.76,71,20,14.97,few clouds,ES,2021-12-11 05:00:32
456,miandoab,36.9694,46.1027,37.67,64,0,1.14,clear sky,IR,2021-12-11 05:00:34
457,vallenar,-28.5708,-70.7581,57.67,73,0,2.26,clear sky,CL,2021-12-11 05:00:35
458,bosobolo,4.1833,19.9,70.47,43,61,2.68,broken clouds,CD,2021-12-11 05:00:36
459,ishigaki,24.3448,124.1572,73.33,58,62,15.55,broken clouds,JP,2021-12-11 05:00:36
460,safranbolu,41.2508,32.6942,42.82,79,70,2.8,broken clouds,TR,2021-12-11 05:00:37
461,byron bay,-28.65,153.6167,78.87,70,58,12.84,broken clouds,AU,2021-12-11 04:57:52
462,naze,28.3667,129.4833,66.81,54,39,2.62,scattered clouds,JP,2021-12-11 05:00:37
463,lukoyanov,55.0277,44.4786,7.74,90,5,9.06,clear sky,RU,2021-12-11 05:00:38
464,akureyri,65.6835,-18.0878,24.44,90,100,4.9,overcast clouds,IS,2021-12-11 05:00:38
465,ketchikan,55.3422,-131.6461,30.99,80,100,5.26,light snow,US,2021-12-11 05:00:38
466,inuvik,68.3499,-133.7218,-8.61,98,100,10.07,overcast clouds,CA,2021-12-11 05:00:39
467,celestun,20.8667,-90.4,77.25,67,11,12.59,few clouds,MX,2021-12-11 05:00:39
468,maragogi,-9.0122,-35.2225,78.17,80,29,10.94,scattered clouds,BR,2021-12-11 05:00:40
469,tebingtinggi,3.3285,99.1625,86.05,78,94,4.23,overcast clouds,ID,2021-12-11 05:00:40
470,camden,39.7835,-74.9663,46.71,88,99,1.99,overcast clouds,US,2021-12-11 04:57:40
471,saiha,22.4833,92.9667,78.62,38,4,3.78,clear sky,IN,2021-12-11 05:00:40
472,ende,-8.8432,121.6623,85.41,77,47,5.53,scattered clouds,ID,2021-12-11 05:00:41
