City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Inhapim,BR,2021-12-08 20:15:31,-19.5492,-42.12,68.59,88,96,4.03
194,Sandpoint,US,2021-12-08 20:15:31,48.2766,-116.5533,41.74,89,90,5.01
195,Nola,IT,2021-12-08 20:15:31,40.922,14.5329,59.41,88,100,14.0
196,Tual,ID,2021-12-08 20:15:32,-5.6667,132.75,81.57,81,100,15.82
197,Moindou,NC,2021-12-08 20:15:32,-21.6924,165.677,78.75,73,0,3.69
198,Sola,VU,2021-12-08 20:15:33,-13.8833,167.55,81.52,77,99,6.46
199,Qaqortoq,GL,2021-12-08 20:15:33,60.7167,-46.0333,30.7,85,60,11.32
200,Talnakh,RU,2021-12-08 20:15:33,69.4865,88.3972,9.21,98,100,12.19
201,Lithgow,AU,2021-12-08 20:15:34,-33.4833,150.15,52.48,96,92,2.8
202,Salinopolis,BR,2021-12-08 20:15:34,-0.6136,-47.3561,82.63,77,19,7.9
203,Kavieng,PG,2021-12-08 20:15:34,-2.5744,150.7967,80.83,85,100,20.38
204,Andenes,NO,2021-12-08 20:15:35,69.3143,16.1194,16.07,73,0,10.36
205,Cyangugu,RW,2021-12-08 20:15:35,-2.4846,28.9075,60.66,94,100,0.69
206,Alyangula,AU,2021-12-08 20:15:35,-13.8483,136.4192,83.88,73,73,8.39
207,Westerland,DE,2021-12-08 20:15:36,54.9079,8.3033,37.42,93,90,16.11
208,Nishihara,JP,2021-12-08 20:15:36,26.1842,127.7558,63.68,75,20,3.44
209,Richards Bay,ZA,2021-12-08 20:15:37,-28.783,32.0377,71.69,93,96,4.05
210,Ngunguru,NZ,2021-12-08 20:15:37,-35.6167,174.5,67.15,75,59,2.77
211,Itarema,BR,2021-12-08 20:15:37,-2.9248,-39.9167,83.98,66,22,16.62
212,Cruz Alta,BR,2021-12-08 20:15:38,-28.6386,-53.6064,84.18,26,0,7.23
213,San Patricio,US,2021-12-08 20:15:39,28.017,-97.5169,81.01,45,36,3.96
214,Adrar,MR,2021-12-08 20:15:39,20.5022,-10.0711,65.16,12,14,11.79
215,Shiyan,CN,2021-12-08 20:15:39,32.6475,110.7781,41.65,71,0,4.25
216,Rio Verde De Mato Grosso,BR,2021-12-08 20:14:12,-18.9181,-54.8442,86.63,43,70,2.24
217,Sur,OM,2021-12-08 20:15:40,22.5667,59.5289,73.87,50,16,9.84
218,Umm Kaddadah,SD,2021-12-08 20:15:40,13.6017,26.6876,69.84,16,0,19.1
219,Mount Gambier,AU,2021-12-08 20:15:41,-37.8333,140.7667,53.87,59,91,10.27
220,Hobyo,SO,2021-12-08 20:15:41,5.3505,48.5268,78.49,75,99,19.84
221,Belyy Yar,RU,2021-12-08 20:15:41,53.6039,91.3903,4.89,85,59,0.0
222,Kamina,CD,2021-12-08 20:15:42,-8.7386,24.9906,63.86,99,100,5.61
223,Uchiza,PE,2021-12-08 20:15:42,-8.4592,-76.4633,90.09,50,93,1.34
224,Namibe,AO,2021-12-08 20:15:43,-15.1961,12.1522,69.46,72,0,5.12
225,Bubaque,GW,2021-12-08 20:15:43,11.2833,-15.8333,82.51,61,72,9.26
226,Bhalki,IN,2021-12-08 20:15:44,18.0333,77.2167,69.51,62,93,9.6
227,Palembang,ID,2021-12-08 20:15:44,-2.9167,104.7458,73.92,98,80,3.51
228,Bagaces,CR,2021-12-08 20:15:45,10.5271,-85.2548,91.33,56,11,14.7
229,Qaanaaq,GL,2021-12-08 20:15:45,77.484,-69.3632,7.65,66,15,7.56
230,Khasan,RU,2021-12-08 20:15:45,42.4308,130.6434,30.02,81,10,4.36
231,Lashio,MM,2021-12-08 20:15:46,22.9333,97.75,58.1,98,12,1.9
232,Narsaq,GL,2021-12-08 20:15:46,60.9167,-46.05,30.42,86,83,10.33
233,Flinders,AU,2021-12-08 20:16:46,-34.5833,150.8552,63.21,92,100,8.03
234,Half Moon Bay,US,2021-12-08 20:12:59,37.4636,-122.4286,60.57,87,75,4.61
235,Walvis Bay,NA,2021-12-08 20:16:47,-22.9575,14.5053,59.95,82,1,3.44
