City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
363,damietta,EG,62.49,clear sky,31.4165,31.8133,SULIMAN INN
364,mendi,PG,67.28,overcast clouds,-6.1761,143.6513,Kiburu Lodge
374,saint-georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
375,fethiye,TR,60.67,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
379,manzanillo,CU,74.1,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
382,colgong,IN,63.82,clear sky,25.2667,87.2167,Hotel Sachin
384,cacequi,BR,71.49,light rain,-29.8836,-54.825,Hotel e Churrascaria Gaúcho
386,tura,IN,64.42,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
388,springdale,US,73.13,heavy intensity rain,36.1867,-94.1288,Springdale Inn
389,los llanos de aridane,ES,62.35,scattered clouds,28.6585,-17.9182,Valle Aridane
392,dhrol,IN,65.59,clear sky,22.5667,70.4167,Marknday Holiday
398,pinheiro,BR,75.83,overcast clouds,-2.5214,-45.0825,Solares Hotel
399,russell,US,69.03,mist,32.3502,-85.1999,Macs
405,akyab,MM,74.41,clear sky,20.15,92.9,Hotel Memory
406,pasco,US,75.06,few clouds,28.292,-82.4165,Connection Community/Park
407,mizan teferi,ET,62.38,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
409,gudur,IN,78.12,few clouds,14.1333,79.85,BALAJI KITCHENS
412,corinto,GR,58.44,overcast clouds,37.9407,22.9573,Ephira Hotel
415,kruisfontein,ZA,66.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
420,carballo,ES,55.9,overcast clouds,43.213,-8.691,Pazo do Souto
421,cumberland,US,56.86,light rain,35.0502,-78.8664,American Eagle Inn
423,huarmey,PE,67.91,overcast clouds,-10.0681,-78.1522,Hotel Miramar
426,kolokani,ML,67.64,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
427,comodoro rivadavia,AR,57.06,few clouds,-45.8667,-67.5,Austral Hotel
429,santa maria,BR,70.9,clear sky,-29.6842,-53.8069,Hotel Morotin
430,inongo,CD,71.06,moderate rain,-1.95,18.2667,Hotel Du Lac
434,necochea,AR,65.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
436,nieuw nickerie,SR,78.24,overcast clouds,5.95,-56.9833,Ishwardat Inn
437,moron,AR,72.01,scattered clouds,-34.6534,-58.6198,Hotel Morón
439,broken hill,AU,74.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
445,san vicente,AR,67.73,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
446,diu,IN,70.56,clear sky,20.7141,70.9822,Hotel Relax Inn
